Technologie,Quadrant,Ring,Beschreibung
Hybride Mobile Applikationen,Konzepte und Methoden,Testen (Trial),"Immer wieder sind wir bei unseren Kundenprojekten mit Anfragen für mobile Applikationen konfrontiert. Eine der wichtigsten Anforderungen dabei ist oft eine Applikation im jeweiligen Store der wichtigsten Anbieter. Native Mobile Apps gehören allerdings nicht zu unserem Service Portfolio. 
Im Web bieten sich Progressive Web Apps (PWAs) an, um «App-like» Benutzererlebnisse zu bauen. Obwohl solche Applikationen heute grundsätzlich in den App-Stores publiziert werden können, ist die Unterstützung der Features nicht bei allen Anbietern gleich gut und der Publikations- und Update-Prozess nicht ganz trivial.
Um den Kundenanforderungen gerecht zu werden und gleichzeitig den Technologiefokus im Web zu behalten, haben wir bereits Erfahrungen mit hybriden mobile Applikationen sammeln können. Es sind schlanke Wrapper-Applikationen, die nativ in der jeweiligen Programmiersprache (Swift für iOS und Java für Android) geschrieben werden und als Inhalt die Web-Applikation über WebViews einbinden. Das hat den grossen Vorteil, dass man Apps jeweils über die plattformspezifischen, nativen Mechanismen publizieren kann, den Inhalt aber trotzdem als responsive Web-Applikation umsetzen kann. Updates an den Apps in den Stores müssen nur selten eingegeben werden, weil jeweils die neueste Version der Inhalte aus dem Web geladen wird. Zudem sind Erweiterungen und Integrationen der Web-Version mit der nativen Welt grundsätzlich möglich."
Infrastructure-As-Code,Konzepte und Methoden,Verbreiten (Adopt),"Infrastructure as code (IaC) ist ein Konzept mit dem Ziel die Bereitstellung und das Management von Infrastrukturkomponenten (Server, Cluster, etc.) in Code abzubilden, und durch automatisierte Prozesse auszuführen. Durch Versionierung vom Code in Git sind alle Änderungen an der Infrastruktur protokolliert und verhindern so auch das Aufkommen von Configuration Drift und Snowflake Systemen.
Durch Automatisierung und entsprechdes Tooling (z.B. Terraform https://www.terraform.io/) können Best-Practises wie Testing oder CICD aus der Software-Entwicklung auch auf Infastruktur-Komponenten angewendet werden.
Unserer Erfahrung nach können mit IaC und Terraform neue Umgebungen viel schneller und reproduzierbarer bereitgestellt werden."
Living Documentation,Konzepte und Methoden,Abschätzen (Assess),"Living documentation hat zum Ziel, die Anforderungen eines Systems und die Implementierung näher zueinander zu bringen. Es findet ihren Ursprung in der Welt von Behavior Driven Development und ist ähnlich wie Idee der Ausführbaren Spezifikationen. In der Regel wird dieser Ansatz umgesetzt, indem Akzeptanzkriterien in User Stories erfasst werden, für welche dann automatisierte Akzeptanztests geschrieben werden. Diese Akzeptanztests werden automatisch bei jeder Änderung des Systems ausgeführt und dokumentieren so die aktuell umgesetzten Features des Systems. Weil die Inventage AG die meisten Ihrer Projekte in agiler Form umsetzen, macht dieser Ansatz Sinn. Bei einigen Projekten wird bereits teilweise in diese Richtung gearbeitet."
Microservice-Architektur,Konzepte und Methoden,Verbreiten (Adopt),"Microservices sind ein Architekturstil, bei dem eine Anwendung als Sammlung kleiner, unabhängiger Dienste entwickelt wird, die zusammenarbeiten, um eine grössere Funktionalität zu bieten. Die einzelnen spezialisierten Dienste kommunizieren miteinander über Netzwerkaufrufe.
Bei Inventage erweitern wir die Definition von Microservices auf das Frontend. Ein Mircoservice besteht sowohl aus Micro-Backend als auch aus Micro-Frontend. Mit dem Micro-Frontend Ansatz werden unabhängig voneinander lieferbare Frontend-Anwendungen zu einem grösseren Ganzen zusammengefügt. Um solche Micro-Frontends zu entwicklen, eigenen sich aus unserer Sicht WebComponents (→ WebComponents).
Der Hauptvorteil von Microservices besteht darin, dass die Aufteilung der Applikation in einzelne Dienste es ermöglicht, Anwendungen schneller und flexibler zu entwickeln. Jeder einzelne Microservice ist weniger abhängig von anderen Teilen der Anwendung. Die Applikation lässt sich einfach erweitern, indem neue Microservices entwickelt und in die bestehende Architektur integriert werden.
Unsere Erfahrung zeigt aber auch, dass Microservices zu einer erhöhten Komplexität bei der Entwicklung und Wartung führen. Einerseits aufgrund der Kommunikation der einzelnen Services über Netzwerkaufrufe, die möglicherweise die Verwaltung von Fehlern und die Überwachung von Leistungsproblemen erfordern. Andererseits aufgrund der expliziten Trennung des eigentlichen Codes, was Refactorings der Schnittstellen erschwert.
Zudem braucht es viel Erfahrung, die Funktionalität sinnvoll in einzelne Dienste zu unterteilen. Wenn es die Anforderungen an die Applikation erlauben haben wir bei Inventage gute Erfahrungen gemacht die Applikation anhand der unterschiedlichen Benutzergruppen aufzuteilen. Indem der Dienst einer Benutzergruppe mehrfach installiert wird, lässt sich auf diese Weise auch eine Mandantenfähigkeit elegant lösen.
Über Microservices lassen sich moderne Applikationen in der Cloud entwicklen. Eine genaue Analyse der Anforderungen und ein Abwähgen der Vor- und Nachteile ist aber in jedem Fall erfolderlich. Nicht immer sind Microservices die einzige Lösung, wie eine Software umgesetzt werden kann. Eine Alternative zur Microservice-Architekur ist zum Beispiel der Modulare Monolith (→ Modularer Monolith), bei welchem ein Monolith in austauschbare und wiederverwendbare Module unterteilt wird."
Modularized Monolith,Konzepte und Methoden,Verbreiten (Adopt),"Bei Modularen Monolithen handelt es sich um einen Architekturstil, welcher die Unterteilung einer Applikation in austauschbare Module mit minimalen Beziehungen vorsieht. Im Gegensatz zu Microservices (-> Microservice-Architektur) werden diese jedoch innerhalb derselben Runtime ausgeführt und verwenden dieselbe Datenbank. Dies setzt voraus, dass die Module auf demselben Technologie-Stack implementiert werden und dieselben Dependencies verwenden.
Das Konzept versucht damit einige der architektonischen und operationellen Nachteile der Microservice-Architektur zu adressieren und dabei möglichst viele der unbestrittenen Vorteile zu bewahren. So können beispielsweise Transaktionen über Modulgrenzen hinweg bestehen, was das häufig aufwändige Kompensieren von Aktionen im Fehlerfall überflüssig macht. Andererseits ist es ohne weiteres möglich, für Querschnittsfunktionen denselben Code wiederzuverwenden. Schliesslich gestaltet sich der Betrieb aufgrund der geringeren Anzahl von Komponenten und Schnittstellen einfacher.
Modulare Monolithen sind jedoch auch mit Nachteilen behaftet. So geht die Fähigkeit verloren, Services unterschiedlichen Release-Zyklen zu unterwerfen. Im Vergleich zu Microservices leidet die Skalierbarkeit, da nur die ganze Applikation – und nicht einzelne Services – parallel depoloyed werden kann. Zu guter Letzt ist es notwendig, die Modulgrenzen zu schützen. Dies kann mittels Überwachung der Beziehungen zwischen Modulen als Teil des Build-Prozesses durch ArchUnit (-> ArchUnit) realisiert werden."
Secure Software Supply-Chain,Konzepte und Methoden,Verbreiten (Adopt),
Server Side Rendering (SSR),Konzepte und Methoden,Abschätzen (Assess),"Server Side Rendering (SSR) hat zum Ziel, häufig auftretende Probleme von Single Page Applications (SPA) zu lösen. Dazu gehören eine langsame Zeit, bis der erste Inhalt sichtbar ist, sowie Search Engine Optimization (SEO). SSR verbessert diese Probleme, indem ein Server die endgültige HTML-Datei zubereitet und an den Client schickt. Der Client fügt dann die notwendige Interaktivität hinzu in einem Prozess, den man Hydration nennt. Die Inventage AG positioniert sich als Experte in allen Bereich des Software Engineering, dazu gehört auch die Frontend-Entwicklung. Deswegen macht es auch Sinn, moderne Ansätze wie SSR zu beobachten und zu evaluieren. Konkret eingesetzt wird dieser Ansatz zurzeit nur bei statischen Webseiten ohne Interaktivität."
Solid,Konzepte und Methoden,Abschätzen (Assess),"[Solid](https://solidproject.org/) ist eine [Spezifikation](https://github.com/solid/specification) der [W3C Solid Working Group](https://lists.w3.org/Archives/Public/public-solid/2022Nov/0001.html) für Systeme, welche es den Benutzern erlauben ihre Daten in sicheren und dezentralen Speichern (Pod) zu halten. Damit können sie in Kontrolle ihrer eigenen Daten bleiben und diese gezielt anderen zur Verfügung stellen. Die Verwendung von [Linked Data](https://www.w3.org/standards/semanticweb/data) und dessen standardisiertem Datenformat ermöglicht dabei die Verlinkung über die Grenzen eines Pods hinweg und ist damit die Grundlage des Sematic Web. Dank dem gemeinsamen Datenformat (RDF) ist es zudem möglich eine Trennung der Daten von den sie bearbeitenden Applikationen zu erreichen.
Wir beobachten mit grossem Interesse die Entwicklung von Solid und die immer grösser werdende Verbreitung (vgl. Belgien, BBC) und sammeln mit Prototypen erste Erfahrungen. Weil viele unserer Kunden bereits über ein hohes Vertrauensverhältnis zu deren Endkunden verfügen, sehen wir für unsere Kunden die Chance als Pod Anbieter aufzutreten und dadurch ganz neue und innovative digitale Dienste anbieten zu können."
Web Components,Konzepte und Methoden,Verbreiten (Adopt),
Zero Bug Policy,Konzepte und Methoden,Abschätzen (Assess),"In vielen Organisationen wird der Pflege des Backlogs grosse Aufmerksamkeit zuteil. Im Backlog finden sich neben Stories, welche neue Anforderungen adressieren auch Bugs. Selbstredend liegt es für den Produktverantwortlichen nahe, neue Funktionalität höher zu priorisieren, sodass das Reparieren von Bugs – oder genereller die Arbeit am «Technical Debt» - häufig das Nachsehen hat. Mit der Zeit wächst die Zahl der Bugs. Diese werden mit Screenshots und Datenbeispielen dokumentiert und die Schritte zum Reproduzieren werden festgehalten. Dann wird das Risiko abgeschätzt und der Impact auf das Business beim Verantwortlichen erfragt. Mit der Weiterentwicklung der Software altern die Bugs und diese Schritte werden mit wachsendem Aufwand periodisch wiederholt.
Die Zero Bug Policy verlangt, dass die Anzahl Bugs nicht anwachsen darf. Werden in einem Sprint neue Bugs rapportiert müssen sie entweder im nächsten Sprint gelöst werden. Ist dies nicht der Fall, werden sie gelöscht. Der Gedanke dabei ist, dass Bugs, die ohnehin nicht repariert werden, auch nicht unterhalten werden sollen."
GraalVM,Plattformen,Abschätzen (Assess),
GraalVM,Plattformen,Abschätzen (Assess),"Mit Hilfe der GraalVM lassen sich äusserst performante Applikationen mit niedrigem Ressourcenbedarf erstellen. GraalVM ist Polyglot, dass heisst es lassen sich z.B Applikationen schreiben, welche Bibliotheken verwenden, die in anderen Sprachen (Java, Javascript, R, Ruby, Python, ...) geschrieben wurden.
Da auf GraalVM optimierte Applikationen wenig Resourcen benötigen, ist die GraalVM eine ideale Plattform um Cloud Applikationen zu erstellen.
Quarkus Applikationen lassen sich auch für die GraalVM bauen. Bei Inventage möchten herausfinden, ob sich die GraalVM in der Praxis bewährt. Ob der Zusatzaufwand für einen GraalVM Build gerechtfertigt ist. Und wie und ob wir die Polyglossie der GraalVM für unsere Zwecke zum Vorteil verwenden können."
Kafka,Plattformen,Verbreiten (Adopt),"Apache Kafka ist eine Open Source Event Streaming Plattform, welche in den letzen Jahren sehr viel Popularität erlangt hat. Wir verwenden Kafka bei unseren Uniport Projekten und realisieren damit Use-Cases wie asynchrone Kommunikation zwischen Micro Services oder die Implementierung des ""Transactional Outbox"" Patterns (https://microservices.io/patterns/data/transactional-outbox.html) mittels Debezium (link zu Debezium). Die Architektur von Kafka unterscheidet sich von klassischen Message Brokern (z.B. RabbitMQ). Kafka ist ein persistenter Message Bus, welcher Events (Messages) in einer geordneten Sequenz vorhält. Events können dadurch mehrfach gelesen werden, womit sich Kafka auch für die Realisierung von weiteren Microservice Architektur-Patterns wie z.B. Event-Sourcing sehr gut eignet."
Kubernetes,Plattformen,Verbreiten (Adopt),"Kubernetes ist ein Open-Source-System für die Orchestrierung von Container-Anwendungen. Die Kernfunktionalitäten von Kubernetes bilden hierbei das automatische Starten von Containern im Bedarfsfall – sei es aufgrund hoher Last oder eines Ausfalls, das Überwachen der laufenden Container und das Verteilen der Last zwischen verschiedenen Containern. Kubernetes erlaubt es so, grosse Anwendungen mit vielen Containern mit deutlich weniger Ressourcen und mehr Flexibilität hinsichtlich Skalierbarkeit zu realisieren. Kubernetes ist bei einer Vielzahl unserer Kunden erfolgreich im Einsatz."
RedPanda,Plattformen,Abschätzen (Assess),"Redpanda ist eine Kafka-kompatible Daten-Streaming Plattform. Sie ist gemäss Webseite leichter, performanter und einfacher im Setup.
In unseren Cloud basierten Microservice Applikationen werden Daten oft via Kafka gestreamt. 
Wir möchten daher überprüfen ob RedPanda wirklich ein leichterer performanterer drop-in Ersatz für Kafka ist, der den Ansprüchen in der Entwicklung oder in der Produktion bezüglich Stabilität, Performance und Ressourcen-Bedarf Kafka ebenbürtig ist oder sogar übertrift."
Web Assembly,Plattformen,Abschätzen (Assess),"Kompiliere beliebige Programmiersprachen zu Web Assembly um den Code im Browser auszuführen. Die Ausführung als Binary ist performant und die Stack Machine entlastet den Main Thread. Rechenintensive Algorithmen können ins Frontend portiert werden und Server und Netzwerk wird entlastet. Backend Code kann direkt für den Browser aufbereitet und wiederverwendet werden. Dies ist für eine Reihe von Use Cases interessant, wie z.B. Verschlüsselung, Signierung, Komprimierung, Visualisierungen und Simulationen."
Angular,"Libraries, Frameworks und Programmiersprachen",Verbreiten (Adopt),"Als etabliertes Framework zur Erstellung von Webapplikationen hat sich Angular auch in unserem Umfeld bestens bewährt. Für viele Problemstellungen, die innerhalb einer Webapplikation gelöst werden müssen, bringt Angular passende und durchdachte Lösungen bzw. Konzepte mit. Entwickler finden sich in unterschiedlichen Projekten schnell zurecht, da sie auf bekannte Muster treffen, ohne jeweils neue Library-Stacks zu erlernen. Als TypeScript-basiertes Framework bringt Angular aufgrund der sprachlichen Vorteile gegenüber JavaScript-basieren Frameworks die Voraussetzung mit, auch in grösseren Projekten mit hohem Qualitätsanspruch eingesetzt zu werden  (→ TypeScript)."
Apache Tomcat,"Libraries, Frameworks und Programmiersprachen",Halten (Hold),"Ein robuster open-source Servlet Container und Webserver, den wir in einigen frühen Projekten zum Einsatz brachten. Mit der Verwendung von JEE Features in Projekten genügte er den Anforderungen nicht mehr und wurde bei neueren Projekte durch Red Hat Wildfly ersetzt. Bei neuen Projekten verzichten wir nach Möglichkeit ganz auf konventionelle Applikationsserver. (Bemerkung: Warum ist dieser Eintrag über den uralten Tomcat und nicht über Wildfly?)"
Apache Wicket,"Libraries, Frameworks und Programmiersprachen",Halten (Hold),
ArchUnit,"Libraries, Frameworks und Programmiersprachen",Verbreiten (Adopt),"ArchUnit erlaubt es, die Architektur einer Software zu definieren und dann in der Form von Unit Tests zu prüfen. Hierbei werden insbesondere die Abhängigkeiten zwischen Modulen (Packages) gegen Verstösse gegen diese Definition überprüft, sodass der Test scheitert, falls unerlaubte Referenzen eingefügt wurden.
Für den Architekturstil «Modularer Monolith» (-> Link Modularer Monolith) bietet ArchUnit ein wertvolles Werkzeug um sicherzustellen, dass die Modul-Grenzen respektiert werden."
Deno,"Libraries, Frameworks und Programmiersprachen",Abschätzen (Assess),"Deno ist eine JavaScript, TypeScript und WebAssembly Runtime. APIs orientieren sich an Browser Standards. Somit kann der selbe Code sowohl im Browser als auch in Deno ausgeführt werden. Diverse APIs sind per Default deaktiviert, um unerlaubte Nutzungen und Zugriffe zu verhindern. Mittels compability mode können Packages aus der NPM Registry und Node Module APIs verwendet werden. Deno kann als Fundament für Task Runner, Utility Script und Web Services genutzt werden und und hat das Potential Node.js abzulösen."
Guice,"Libraries, Frameworks und Programmiersprachen",Halten (Hold),
Java EE,"Libraries, Frameworks und Programmiersprachen",Halten (Hold),
JavaScript,"Libraries, Frameworks und Programmiersprachen",Halten (Hold),"Die fehlende Typisierung der Sprache erschwert das Refactoring einer JavaScript-Codebasis. Dieser Umstand schlägt sich schliesslich negativ auf die Wartbarkeit und die Codequalität einer Applikation nieder. Stattdessen setzen wir für grössere (Frontend-) Projekte auf TypeScript, womit sich eine hohe Codequalität auch auf lange Sicht effizient sicherstellen lässt."
jOOQ,"Libraries, Frameworks und Programmiersprachen",Testen (Trial),"JPA und Hibernate sind De-facto-Standards für Datenbank-Zugriffe in Java, auch bei Inventage. Mit steigender Komplexität von Datenbankabfragen wächst aber auch das Unbehagen beim Formulieren derselben in der zur Verfügung stehenden Criteria API. Greift man auf Native Queries zurück, verliert man die Typsicherheit.
Die Suche nach ORM-Alternativen, welche sich stärker an SQL und den Möglichkeiten der Datenbanken orientieren, führte uns zu jOOQ (Java Object Oriented Querying), welches SQL als interne DSL in Java abbildet, so dass Datenbank-Abfragen typsicher und direkt in Java formuliert werden können.
Bisher wurde jOOQ in der Inventage noch in keinem Projekt eingesetzt. Erste Evaluationen waren jedoch jeweils so vielversprechend, dass wir uns entschieden haben, diese Library dem Ring ""Testen"" zuzuordnen und auch einmal in einem Projekt einzusetzen, um mehr Erfahrung damit zu sammeln. Ein mögliches Vorgehen könnte sein, jOOQ für komplexere Reporting- und Batch-Processing-Tasks zu verwenden, während die typischen CRUD-Tasks weiterhin mit einem OR-Mapper umgesetzt werden."
